subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,7/6/2018,6/1/2017,6/5/2017,Ipsos,B+,2031,rv,.1549273,0,42.3,33.7,46.93012,37.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49822,79310,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,5/31/2017,6/6/2017,Quinnipiac University,A-,1361,rv,1.691425,0,51,39,48.85197,38.74236,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2463,49828,78293,6/8/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/2/2017,6/6/2017,Ipsos,B+,1983,rv,.1493935,0,42.8,33.5,47.43012,37.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49836,79309,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/3/2017,6/7/2017,Ipsos,B+,1903,rv,.1418886,0,42.8,33.4,47.43012,37.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49835,79308,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/4/2017,6/6/2017,YouGov,B,1288,rv,.5538925,0,41,37,46.06893,40.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,49825,78287,6/7/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/4/2017,6/8/2017,Ipsos,B+,1666,rv,.1231748,0,43,32.8,47.63012,37.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49834,79307,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/5/2017,6/9/2017,Ipsos,B+,1303,rv,.0956782,0,44,32.1,48.63012,36.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49848,79306,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/6/2017,6/10/2017,Ipsos,B+,1231,rv,.0898632,0,44.5,32.7,49.13012,36.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49847,79305,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/7/2017,6/11/2017,Ipsos,B+,1232,rv,.0894905,0,44.7,33.2,49.33012,37.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49846,79304,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/8/2017,6/12/2017,Morning Consult,B-,1990,rv,.4212121,0,42,39,46.30625,40.4075,"","",http://www.politico.com/f/?id=0000015c-a2f6-d070-a57d-effe677f0001,49855,78337,6/15/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/8/2017,6/12/2017,Ipsos,B+,1239,rv,.0896346,0,43.8,34.5,48.43012,38.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49845,79303,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/9/2017,6/11/2017,Public Policy Polling,B,811,rv,1.077496,0,50,40,48.75253,39.81252,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf,49842,78314,6/12/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/9/2017,6/13/2017,Ipsos,B+,1263,rv,.0910897,0,42.7,35.3,47.33012,39.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49861,79302,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/11/2017,6/13/2017,YouGov,B,1298,rv,.5575718,0,38,36,43.06893,39.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kc9nca1eho/econTabReport.pdf,49850,78331,6/14/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/10/2017,6/14/2017,Ipsos,B+,1328,rv,.0955562,0,42.3,36.9,46.93012,41.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49860,79301,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/11/2017,6/15/2017,Ipsos,B+,1372,rv,.0985659,0,42.4,35.4,47.03012,39.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49859,79300,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/12/2017,6/16/2017,Ipsos,B+,1368,rv,.0981808,0,43.3,35.9,47.93012,40.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49877,79299,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/13/2017,6/17/2017,Ipsos,B+,1318,rv,.094517,0,44.6,33.3,49.23012,37.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49876,79298,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/14/2017,6/18/2017,Ipsos,B+,1300,rv,.0931316,0,45,32.2,49.63012,36.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49875,79297,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/15/2017,6/19/2017,Ipsos,B+,1285,rv,.0919401,0,45.4,31.2,50.03012,35.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49874,79296,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/15/2017,6/19/2017,Morning Consult,B-,2051,rv,.4327424,0,43,37,47.30625,38.4075,"","",https://morningconsult.com/wp-content/uploads/2017/06/170604_crosstabs_Politico_v1_TB-1.pdf,49881,78383,6/21/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/16/2017,6/20/2017,Ipsos,B+,1273,rv,.0909395,0,45.2,32.5,49.83012,36.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49895,79295,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/18/2017,6/20/2017,YouGov,B,1277,rv,.5514919,0,38,35,43.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b6o1y15enn/econTabReport.pdf,49878,78378,6/21/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/17/2017,6/21/2017,Ipsos,B+,1277,rv,.0910527,0,43.2,34.1,47.83012,38.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49894,79294,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/17/2017,6/20/2017,NBC News/Wall Street Journal,A-,765,rv,1.317305,0,50,42,48.87023,40.83254,"","",http://msnbcmedia.msn.com/i/TODAY/z_Creative/17255%20NBCWSJJunePoll.pdf,49885,78387,6/22/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/18/2017,6/22/2017,Ipsos,B+,1293,rv,.0920054,0,43.2,34,47.83012,38.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49893,79293,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/19/2017,6/23/2017,Ipsos,B+,1321,rv,.0938053,0,42.4,33.8,47.03012,38.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49903,79292,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/20/2017,6/24/2017,Ipsos,B+,1311,rv,.0929099,0,41.1,33.5,45.73012,37.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49902,79291,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/22/2017,6/24/2017,Morning Consult,B-,1994,rv,.4228198,0,42,40,46.30625,41.4075,"","",http://www.politico.com/f/?id=0000015c-eab8-d0dd-ad5e-febabb7b0001,49908,78427,6/28/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/21/2017,6/25/2017,Ipsos,B+,1308,rv,.0925077,0,41.5,33,46.13012,37.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49901,79290,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/21/2017,6/25/2017,Marist College,A,995,rv,1.87555,0,48,38,48.15796,38.36023,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170621_PBS_NPR/NPR_PBS%20NewsHour_Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Trump_Congress_Health%20Care_June%202017.pdf#page=3,49910,78429,6/28/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/22/2017,6/26/2017,Ipsos,B+,1314,rv,.0927239,0,42.7,31.5,47.33012,35.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49900,79289,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/22/2017,6/27/2017,Quinnipiac University,A-,1212,rv,1.532004,0,51,41,48.85197,40.74236,"","",https://poll.qu.edu/images/polling/us/us06292017_U29wzguu.pdf/,49917,78440,6/29/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/23/2017,6/27/2017,Ipsos,B+,1348,rv,.0948943,0,41.8,32.4,46.43012,36.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49920,79288,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/25/2017,6/27/2017,Fox News,A,1017,rv,1.826642,0,47,41,46.89169,41.10719,"","",http://www.foxnews.com/politics/interactive/2017/06/28/fox-news-poll-june-28-2017.html,49912,78434,6/28/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/25/2017,6/27/2017,YouGov,B,1279,rv,.5527253,0,41,35,46.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p97ezf7wcq/econTabReport.pdf,49909,78428,6/28/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/24/2017,6/28/2017,Ipsos,B+,1362,rv,.09564,0,42.1,33.5,46.73012,37.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49922,79287,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/25/2017,6/29/2017,Ipsos,B+,1336,rv,.0935714,0,42.5,33,47.13012,37.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49921,79286,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/26/2017,6/30/2017,Ipsos,B+,1411,rv,.0985677,0,41.5,34.1,46.13012,38.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49938,79285,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/27/2017,7/1/2017,Ipsos,B+,1409,rv,.0982056,0,39.7,35.2,44.33012,39.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49937,79284,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/29/2017,6/30/2017,Morning Consult,B-,1989,rv,.4206206,0,43,39,47.30625,40.4075,"","",https://morningconsult.com/wp-content/uploads/2017/07/170612_crosstabs_POLITICO_v2_AP-1.pdf,49941,78483,7/6/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/28/2017,7/2/2017,Ipsos,B+,1378,rv,.095862,0,40.3,35.3,44.93012,39.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49936,79283,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/29/2017,7/3/2017,Ipsos,B+,1318,rv,.091544,0,41.6,35.8,46.23012,40.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49935,79282,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,6/30/2017,7/4/2017,Ipsos,B+,1369,rv,.0949582,0,42.3,36.1,46.93012,40.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49934,79281,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,7/1/2017,7/5/2017,Ipsos,B+,1298,rv,.0899364,0,43.3,36.2,47.93012,40.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49946,79280,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,7/3/2017,7/4/2017,YouGov,B,1310,rv,.5587019,0,37,35,42.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o8w3rbul29/econTabReport.pdf,49932,78463,7/5/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,7/2/2017,7/6/2017,Ipsos,B+,1330,rv,.0920629,0,43.5,35.4,48.13012,39.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49945,79279,10/27/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,7/3/2017,7/7/2017,Ipsos,B+,1337,rv,.0924235,0,43.8,34.2,48.43012,38.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49956,79278,10/27/2017,11:22:10  6 Jul 2018
